Id;ProductName;CategoryId;CategoryName;AveragePrice
5971;Przetwory z warzyw 89;2;Artykuły spożywcze;2.42
5972;Wody witaminowe i funkcjonalne 1;11;Napoje;2.74
5973;Napoje niegazowane do 0,5 L 378;11;Napoje;5.99
5974;Szynka, polędwica, schab luz 1135;17;Spożywka świeża;12.97
5975;Galaretki 10;2;Artykuły spożywcze;1.97
5976;Przekąski za 2 zł 35;16;Słone przekąski;2.00
5977;Napoje izotoniczne powyżej 0,5 L 42;11;Napoje;2.75
5979;Chipsy duże powyżej 101g 199;16;Słone przekąski;3.78
5982;Makarony 631;2;Artykuły spożywcze;5.92
5984;Zioła 20;18;Warzywa & Owoce & Rośliny;3.76
5985;Draże impulsowe 48;15;Słodycze;5.04
5986;Woda niegazowana powyżej 1 L 28;11;Napoje;1.43
5987;Wino różowe półwytrawne 9;20;Wino;24.09
5988;Mrożone warzywa 171;4;Mrożonki;4.83
5989;Pasztety 22;2;Artykuły spożywcze;1.78
5990;Napoje gazowane flavoured do 0,6 L 126;11;Napoje;2.59
5991;Bułka gatunkowa odpiekana 63;12;Pieczywo;1.84
5992;Zupy mrożone 70;4;Mrożonki;3.17
5994;Napoje gazowane flavoured do 0,6 L 70;11;Napoje;1.98
5995;Karma dla psa sucha 18;5;Niespożywcze;4.89
5997;Pozostałe dania mrożone mączne 13;4;Mrożonki;6.58
5998;Przyprawy sypkie mono 121;2;Artykuły spożywcze;1.77
5999;Napoje gazowane typu cola powyżej 1,4 L 4;11;Napoje;3.76
6000;Napoje niegazowane do 0,5 L 267;11;Napoje;1.99
6001;Wafle ryżowe 82;2;Artykuły spożywcze;5.29
6003;Chrupki, prażynki duże powyżej 101 g 47;16;Słone przekąski;1.99
6004;Chleb gatunkowy 528;12;Pieczywo;2.73
6005;Warzywa, owoce, rośliny REG 54;18;Warzywa & Owoce & Rośliny;6.69
6006;Napoje izotoniczne powyżej 0,5 L 29;11;Napoje;1.99
6007;Czekolady małe 142;15;Słodycze;4.99
6008;Fast food paczkowany 22;10;Dania gotowe;6.35
6009;Hot-dog 85;6;Żabka Cafe;2.69
6011;Plastry 259;17;Spożywka świeża;5.56
6012;Produkty odpiekane słone 20;6;Żabka Cafe;2.29
6013;Wafle impulsowe 187;15;Słodycze;1.88
6015;Wino różowe półwytrawne 25;20;Wino;17.99
6016;Piwo jasne mainstream butelka 80;13;Piwo;2.90
6017;Wafle impulsowe 148;15;Słodycze;1.86
6018;Chrupki, prażynki małe do 50 g 24;16;Słone przekąski;2.00
6019;Herbata zielona, czerwona, biała ekspres 90;2;Artykuły spożywcze;3.99
6021;Ciastka nieczekoladowe 77;15;Słodycze;5.70
6022;Pasty do zębów 12;5;Niespożywcze;4.65
6023;Wyroby mięsne luz 86;17;Spożywka świeża;13.13
6026;Znicze, wkłady 249;5;Niespożywcze;2.99
6028;Ciastka nieczekoladowe 315;15;Słodycze;5.96
6029;Kisiele 12;2;Artykuły spożywcze;1.19
6030;Sałatki makaronowo-ryżowe 4;3;Szybkie przekąski;4.88
6031;Żabka Cafe, Freshcafe REG 135;6;Żabka Cafe;4.73
6033;Pieczywo REG 100;12;Pieczywo;4.05
6034;Zupki dla dzieci 21;5;Niespożywcze;4.29
6035;Popcorn 5;16;Słone przekąski;2.89
6036;Dropsy impulsowe 18;15;Słodycze;2.47
6037;Piwo jasne mainstream butelka 98;13;Piwo;2.11
6038;Herbata mrożona do 1 L 28;11;Napoje;2.98
6039;Chusteczki higieniczne 6;5;Niespożywcze;3.99
6040;Pozostałe wędliny luz 36;17;Spożywka świeża;24.98
6041;Herbata zielona, czerwona, biała ekspres 10;2;Artykuły spożywcze;5.20
6042;Sushi, Onigiri 22;3;Szybkie przekąski;4.20
6043;Bułka zwykła odpiekana 63;12;Pieczywo;3.49
